,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
27,...,...,desarrollador/a,agencia de empleo de comfenalco cartagena,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-agencia-de-gestion-y-colocacion-de-empleos-comfenalco--1AB0FC31013A9757,...,"bolívar, cartagena de indias","importante empresa solicita técnico o tecnólogo en programación ( php, mysql; preferiblemente con manejo en framework,...",hace 4 días
28,...,empleo destacado,desarrollador/a,...,...,...,antioquia,reconocida ips requiere desarrollador de software full stack para proceso de programación/implementación teniendo...,hace 4 días
29,se precisa urgente,empleo destacado,analista desarrollador/a,sumimedical,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-sumimedical-ltda-B91CAC2E9B6C8393,"4,2","antioquia, medellín",se requiere tecnólogo en programación de software para participar del proceso de programación/implementación...,hace 4 días
30,...,...,aprendiz sena para desarrollo de software,grupo oet,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-grupo-oet-ED2C2E741A7EB072,"4,2","bogotá, d.c., bogotá, d.c.","empresa que ofrece servicios de desarrollo de software para el sector logístico y transporte, requiere aprendiz para...",hace 4 días
31,...,...,ingeniero de desarrollo .net,...,...,...,"bogotá, d.c., bogotá, d.c.",importante empresa del sector distribución de productos de consumo masivo se encuentra en la búsqueda de ingenieros de...,hace 5 días
32,...,...,coordinador de proyectos,grupo spira sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-grupo-spira-sas-44690063A244380A,"4,5","bogotá, d.c., bogotá, d.c.",buscamos profesional en ingeniería de sistemas con 3 años de experiencia en cargos de coordinador o líder de proyectos...,hace 5 días
33,se precisa urgente,empleo destacado,desarrollador php,browser travel solutions,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-browser-travel-solutions-sas-CDB14B3076E3636A,"3,7","bogotá, d.c., bogotá, d.c.",browser travel solutions s.a.s se encuentra en búsqueda de los mejores desarrolladores php con experiencia mínima de 3...,hace 5 días
34,...,...,programador/a,gestion y compromiso,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-asem-consultores-sas-2FA4CFE93F47F410,"4,1","antioquia, medellín",empresa americana busca un desarrollador de software que se destaque en el desarrollo de software con experiencia en...,hace 5 días
35,...,...,ingeniero de aplicaciones back office,carvajal servicios compartidos,https://co.computrabajo.com/carvajalservicioscompartidos,...,"valle del cauca, cali",en carvajal servicios compartidos estamos en la búsqueda de un profesional en ingeniería de sistemas o en últimos...,hace 5 días
36,se precisa urgente,empleo destacado,desarrollador de software,...,...,...,"valle del cauca, cali","importante empresa requiere tecnólogo o profesional en ingeniera de sistemas o afines, con experiencia mínimo de 2...",hace 6 días
37,...,...,desarrolladores web,grupo spira sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-grupo-spira-sas-44690063A244380A,"4,5","bogotá, d.c., bogotá, d.c.","buscamos desarrolladores web, ingeniero de sistema, ingeniero de software o estudiante de últimos semestres de...",hace 6 días
38,...,...,coordinador/líder de proyectos,grupo spira sas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-grupo-spira-sas-44690063A244380A,"4,5","bogotá, d.c., bogotá, d.c.",buscamos profesional en ingeniería de sistemas con 3 años de experiencia en cargos de coordinador o líder de proyectos...,hace 6 días
39,...,...,desarrollador/a,brevor river studios s.a.s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-brevor-river-studios-sas-CDC2CB0FD34B96AD,...,"huila, pitalito",estamos buscando un arquitecto para aws para administrar y actualizar un producto existente.deberia conocer el asunto...,hace 6 días
40,...,...,docente de desarrollo sotfware / indispensable experiencia,gbp,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-grupo-bien-pensado-633AC771C1CCA9B6,...,"santander, bucaramanga",¿eres tecnólogo o profesional en programación y has enseñado a otras personas? ¡esta es tu oportunidad! importante...,hace 6 días
41,...,...,docente experto en desarrollo en software,gbp,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-grupo-bien-pensado-633AC771C1CCA9B6,...,"santander, bucaramanga",eres tecnólogo o profesional en programación y has enseñado a otras personas? ¡esta es tu oportunidad! importante...,hace 6 días
42,...,...,desarrollador full stack de php y angular,2b ecommerce,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-2b-ecommerce-85D5F51A572E5157,...,"antioquia, medellín","el desarrollador de php es responsable de desarrollar y mantener el código de back-end de las aplicaciones lumen,...",hace 6 días
