,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
1491,se precisa urgente,empleo destacado,home office,emtelco cx & bpo,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-emtelco-cxbpo-301DB1045D553975,"4,3","antioquia, medellín","¿te apasiona dar lo mejor de ti y entregar siempre soluciones oportunas? buscamos tu talento y si estás aquí, es...",hace 2 días
1492,...,empleo destacado,te apasiona el servicio al cliente trabaja desde casa,emtelco cx & bpo,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-emtelco-cxbpo-301DB1045D553975,"4,3","antioquia, medellín","¿te apasiona dar lo mejor de ti y entregar siempre soluciones oportunas? buscamos tu talento y si estás aquí, es...",hace 2 días
1493,se precisa urgente,empleo destacado,asesor call center teletrabajo,emtelco cx & bpo,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-emtelco-cxbpo-301DB1045D553975,"4,3","antioquia, medellín","¿te apasiona dar lo mejor de ti y entregar siempre soluciones oportunas? buscamos tu talento y si estás aquí, es...",hace 2 días
1494,...,...,cajera servicio al cliente,adecco colombia s.a.,https://co.computrabajo.com/adecco-colombia-sa,"4,3","bogotá, d.c., bogotá, d.c.","prestigiosa marca de ropa requiere para su equipo de trabajo bachiller, con experiencia como cajero mínimo de 4 meses,...",hace 2 días
1495,...,...,bachilleres técnicos o tecnólogos con experiencia en servicio al,...,...,...,"bogotá, d.c., bogotá, d.c.",importante empresa del sector de telecomunicaciones a nivel multinacional esta en busqueda de agentes tecnicos o...,hace 2 días
1497,...,...,agente servicio pasajero// servicio al cliente en aerolíneas,manpower professional ltda,https://co.computrabajo.com/manpower,"4,4","bogotá, d.c., bogotá, d.c.",se requieren técnicos o tecnólogos en carreras relacionadas con el sector aeroportuario tales como: administración de...,hace 2 días
1498,...,...,asesores call center horarios madrugada y día,ocupar temporales s.a.,https://co.computrabajo.com/ocupartemporales,"4,2","bogotá, d.c., bogotá, d.c.",importante call center europeo esta en busca del mejor talento para que hagas parte de nosotros!! salario...,hace 2 días
1501,...,...,agentes call center horarios madrugada y día,ocupar temporales s.a.,https://co.computrabajo.com/ocupartemporales,"4,2","bogotá, d.c., bogotá, d.c.",importante call center europeo esta en busca del mejor talento para que hagas parte de nosotros!! salario...,hace 2 días
1502,...,...,asesor de servicio al cliente,proyección laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-proyeccion-laboral-0AC901B3CFF20E71,"4,2","bogotá, d.c., bogotá, d.c.",responder las inquietudes sobre productos o servicios. ... hacer un seguimiento de las consultas. ... procesar pedidos...,hace 2 días
1503,...,...,agente call center sin experiencia bogotá servicio al cliente desde casa,...,...,...,"valle del cauca, cali","¿buscas formar parte de un excelente equipo de trabajo, altos ingresos económicos fijos y la oportunidad de adquirir...",hace 2 días
1504,...,...,agente telefónico/ servicio al cliente,comdata group,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-comdata-group-66BD34796378DC5A,"4,1","bogotá, d.c., bogotá, d.c.","¡haz parte de nuestra familia, desarrolla tu talento con nosotros y disfruta de los beneficios! importante empresa de...",hace 2 días
1506,...,...,asesor servicio al cliente,ventas y servicios s.a.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-ventas-y-servicios-sa-943BBEC384C1FB89,"4,1","bogotá, d.c., bogotá, d.c.",importante compañía de call center requiere para su equipo de trabajo asesores de servicio al cliente call center. que...,hace 2 días
1509,...,...,servicio al cliente call center,intelcia,https://co.computrabajo.com/intelcia,"4,1","bogotá, d.c., bogotá, d.c.","¡hola! queremos que seas parte de nuestra compañía, bienvenido al proceso de selección. te recordamos las condiciones...",hace 2 días
