,tags_urgents,tags_featured,jobs_title,companies_name,companies_link,companies_calcifications,companies_locations_after,short_descriptions,how_longs
3510,se precisa urgente,empleo destacado,auxiliares de bodega con experiencia,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","cundinamarca, funza","importante compañía logistica kuehne nagel kn, se encuentra en búsqueda de personal masculino y femenino (bachiller),...",ayer
3511,...,...,auxiliar de almacén y distribución bachiller,mision temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-temporal-61A976259EF1887C,"4,3","cundinamarca, facatativá",reconocida multinacional de productos cosméticos está en búsqueda de auxiliar de almacén y distribuciónque viva en...,ayer
3512,...,...,conductor tracto camión y/o tractomula/ licencia c3/bogotá/zipaquirá/chía,adecco colombia s.a.,https://co.computrabajo.com/adecco-colombia-sa,"4,3","cundinamarca, tocancipá",importante multinacional sector logística se encuentra en búsqueda de trabajo conductores tractocamión. beneficios: ...,ayer
3513,...,...,domiciliario para restaurante,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.","importante restaurante de comida orienta requiere bachiller con experiencia mínima 1 año en el cargo de domiciliario,...",ayer
3514,...,...,conductor tractocamión,organización servicios y asesorias s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-servicios-y-asesorias-sas-0330A167A59B45C0,"4,2","bolívar, cartagena de indias","importante empresa del sector logísticorequiere para su equipo de trabajo conductor de tractocamión con licencia c3,...",ayer
3515,...,...,auxiliar ruta/distribución,alianza temporal s.a.s,https://co.computrabajo.com/alianzatemporal,"4,1","bogotá, d.c., bogotá, d.c.","empresa de servicios logísticos requiere personal para el cargo de auxiliar de camioneta o reparto, bachilleres,...",ayer
3516,...,...,auxiliar de panadería,t&s temservice s.a.s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-ts-temservice-sas-6A5CE98DE2C370B0,"4,1","cundinamarca, chía","importante empresa del sector busca bachiller o técnico en logística, alimentos, técnico en pastelería o afines....",ayer
3517,...,...,auxiliar de seguridad,grupo alianza,https://co.computrabajo.com/grupoalianza,"4,0","bogotá, d.c., bogotá, d.c.","importantecompañía de trabajo ubicada en el centro de la ciudad, requiere para su equipo de trabajoauxiliar de...",ayer
3518,...,empleo destacado,coordinador/a de cuenta,soluciones inmediatas,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-soluciones-inmediatas--80278A6F3F0B3BB3,"4,2","cundinamarca, funza","importante compañía logística,ubicada en el parque industrial latam,requiere para su equipo de trabajo coordinador de...",ayer
3519,...,...,auxiliar de ruta (no conductor),t&s temservice s.a.s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-ts-temservice-sas-6A5CE98DE2C370B0,"4,1","tolima, ibagué","empresa líder en servicios de logística, está en la búsqueda de personal masculino, bachiller, con libreta militar,...",ayer
3520,...,...,auxiliar montacarguista 6 meses de experiencia,mision temporal,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-temporal-61A976259EF1887C,"4,3","bogotá, d.c., bogotá, d.c.","importante empresa esta en búsqueda de auxiliares logísticos montacarguista con mínimo 6 meses de experiencia, para...",ayer
3521,...,...,auxiliar de bodega,ocupar temporales s.a.,https://co.computrabajo.com/ocupartemporales,"4,2","atlántico, barranquilla",importante empresa del sector logístico en alimentos requiere para su equipo de trabajo auxiliar de bodega con...,ayer
3523,...,...,mensajero con moto propia,...,...,...,"antioquia, medellín",¡tenemos una oferta laboral para ti! importante empresa de logística y mensajería se encuentra en la búsqueda de un...,ayer
3524,...,...,asesor comercial punto de venta con moto,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.","importante compañia dedicada a la venta de gasodomesticos requiere tecnicos o tecnologos en administrador de empresas,...",ayer
3525,...,...,asesor comercial,logistica laboral s.a.s.,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-logistica-laboral-sas-C5CD5BCC5BF121BC,"4,2","bogotá, d.c., bogotá, d.c.","importante compañía dedicada a la venta de gasodomésticos requiere técnicos o tecnólogos en administrador de empresas,...",ayer
3526,...,empleo destacado,operario de despacho,mision empresarial s.a,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-mision-empresarial-sa-BFC82CBE99C9A6C7,"4,1","antioquia, rionegro",misión empresarial requiere bachiller para trabajar como operario de despachos en reconocida empresa de producción...,ayer
3527,se precisa urgente,...,coordinador de operación de servicio de ruta,s&a servicios y asesorias,https://co.computrabajo.com/serviciosyasesorias,"4,3","valle del cauca, cali","importante empresa de servicios en salud requiere para su equipo de trabajo, profesional en ingeniería industrial,...",ayer
3528,...,...,auxiliar de ruta para guarne,t&s temservice s.a.s,https://co.computrabajo.com/empresas/ofertas-de-trabajo-de-ts-temservice-sas-6A5CE98DE2C370B0,"4,1","antioquia, guarne","¡esta vacante es para ti! importante empresa del sector logístico requiere para su equipo de trabajo, personal con...",ayer
